Occupation/Context,Total Employed (US),Gesture-Relevance Analysis,Context Tags,Gestural Cueing for Alerts or Transitions,Need for Discreet or Silent Communication,Multimodal Command Needs,Wears Gloves or Hands Often Dirty,Safety-Critical Tasks,Touch-Free Requirement,"Environmental Sensitivity (Moisture, Heat, Cold)",Hands Frequently Full,Performance Contexts,Sterile or Hygiene-Sensitive Settings,Task Switching Without Losing Flow,Field Work with Limited Tech Access,One-Handed or Asymmetric Work,High-Volume Repetitive Logging,Dim or Low-Light Workspaces,Constant Motion / Mobile Work,Visual Focus Must Stay Forward,Time-Sensitive or High-Paced Environments,Noisy Environments (Voice Input Unreliable),Irregular or Constrained Environments,Team-Based Spatial Work,Public-Facing with Frequent Interruptions,Objects or Screens are Out of Reach,Data/Interface Control While Focused Elsewhere
Pets Salesperson,271867,"In pet stores, staff may move between cages, feeding, and customers. With hands full or dirty, gesture input enables clean access to animal care checklists, vet records, or product suggestions — maintaining hygiene and improving support.","['Sterile or Hygiene-Sensitive Settings', 'Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work']",0,0,0,271867,0,0,0,0,0,271867,0,0,0,0,0,271867,0,0,0,0,0,271867,0,0
Shoe Salesperson,271867,"Shoe salespeople kneel, assist with fittings, and often juggle different sizes mid-interaction. A gesture-based interface would allow seamless stock checks, size availability alerts, or music control — all without pausing to use a handheld device.","['Gestural Cueing for Alerts or Transitions', 'Data/Interface Control While Focused Elsewhere', 'Touch-Free Requirement']",271867,0,0,0,0,271867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271867
Used Car Salesperson,271867,"Used car sales require mobility, persuasion, and real-time information. A gesture interface allows subtle access to VIN checks, vehicle histories, or stock statuses while walking the lot — enhancing professionalism without fumbling with a screen.","['Data/Interface Control While Focused Elsewhere', 'High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,271867,0,0,0,0,0,0,0,271867,0,271867,0,0,0,0,0,0,0,271867
Women’s Apparel Salesperson,271867,"Apparel staff assist with sizing, styling, and quick customer interactions. With hands busy adjusting garments or managing fitting rooms, gesture input allows silent control of POS tools, music, or stock checks — supporting smoother, more personal retail experiences.","['Time-Sensitive or High-Paced Environments', 'Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,271867,0,0,0,271867,0,0,0,0,0,0,0,0,0,0,0,271867,0,0,0,271867,0,0
Retail Sales Workers,271867,"Retail sales workers move constantly between customers, shelves, and registers. With hands full and constant interpersonal demands, gesture input allows seamless access to inventory, task updates, or communication with team members — all without leaving the sales floor or interrupting service.","['Public-Facing with Frequent Interruptions', 'Hands Frequently Full', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,271867,0,271867,0,0,0,0,0,0,0,271867,0,0,0,0,0,271867,0,0
Blind Aide,495238,"Aides supporting blind individuals often use both hands for guiding, organizing items, or assisting with mobility. Gesture input could allow them to log tasks, communicate with supervisors, or receive quiet updates without reaching for a device — helping them stay attentive and responsive.","['High-Volume Repetitive Logging', 'Hands Frequently Full', 'Touch-Free Requirement']",0,0,0,0,0,495238,0,495238,0,0,0,0,0,495238,0,0,0,0,0,0,0,0,0,0
Blind Escort,495238,"Escorts for blind individuals must remain alert and often maintain physical contact. Gesture-based controls offer a discreet, silent way to receive navigation cues, log waypoints, or trigger communication without using a phone — ideal for respectful, uninterrupted support.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",495238,495238,0,0,0,495238,0,0,0,0,0,0,0,495238,0,0,0,0,0,0,0,0,0,0
Elderly Companion,495238,"Companions assist with daily living, emotional support, and light household work. Their hands are often full, and they need to stay present. Gesture input enables silent reminders, medication alerts, or wellness check-ins — preserving dignity and allowing tech to fade into the background.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",495238,495238,0,0,0,495238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geriatric Personal Care Aide,495238,"Personal care aides assist with hygiene, meals, and mobility. Gloves and physical proximity to the patient make screen use difficult. Gesture input could support logging care activities, checking medication lists, or alerting supervisors without breaking contact or hygiene protocol.","['Sterile or Hygiene-Sensitive Settings', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,0,0,495238,0,495238,0,0,0,495238,0,0,0,495238,0,0,0,0,0,0,0,0,0,0
Home Health Attendant,495238,"These workers balance caregiving, housekeeping, and health monitoring in private homes. Gesture input enables them to log tasks, request backup, or manage alerts hands-free while staying focused on patient care and home routines.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",495238,0,0,0,0,495238,0,0,0,0,0,0,0,495238,0,0,0,0,0,0,0,0,0,0
Home Hospice Aide,495238,"Hospice aides operate in emotionally sensitive environments where quiet, dignity, and cleanliness are critical. Gesture input allows for subtle charting, check-ins, or medication confirmation — enabling respectful, touch-free interaction that honors patient privacy.",['Touch-Free Requirement'],0,0,0,0,0,495238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Personal Support Worker,495238,"These professionals provide intimate daily care, often under strict hygiene and emotional pressure. Gesture input supports silent coordination, shift notes, or status updates without interrupting care or compromising cleanliness.","['Sterile or Hygiene-Sensitive Settings', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,495238,0,0,0,495238,0,0,0,495238,0,0,0,0,0,495238,0,0,0,0,0,0,0,0
Home Health and Personal Care Aides,495238,"In mobile, hands-on, hygiene-critical roles, these aides benefit from gesture input to access schedules, log vitals, or trigger reminders — all while maintaining physical and emotional presence with those they serve.","['Sterile or Hygiene-Sensitive Settings', 'High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,495238,0,0,0,495238,0,0,0,495238,0,495238,0,0,0,0,0,0,0,0
Admiral,164333,"Admirals oversee complex naval operations with a need for discretion and uninterrupted command focus. Gesture input could offer silent alert acknowledgment, control of presentation tech, or toggling between data sources — useful during briefings or ship tours where mobility and subtlety are key.","['Performance Contexts', 'Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",164333,164333,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEO,164333,"CEOs navigate meetings, travel, and high-pressure decisions with minimal downtime. Gesture-based input allows discreet control of calendars, slide decks, or notes while on the move — maintaining flow without visible screen distraction.","['Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0
Chief Executive Officer,164333,"The same role as CEO — gesture input supports multitasking in meetings, toggling data on screens, or discreetly queuing messages — useful for executive presence without interruption.","['Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chief Financial Officer,164333,"CFOs often need to control presentations, compare dashboards, or toggle between financial data in high-stakes meetings. Gesture input offers discreet, screen-free control — enabling focused, confident communication.","['Performance Contexts', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,164333,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chief Operating Officer,164333,"COOs juggle systems oversight and real-time decision making. Gesture input could allow hands-free navigation of ops dashboards, alerts, or logistics platforms while walking plants or warehouse floors.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",164333,0,0,0,0,164333,0,0,0,0,0,0,0,164333,0,164333,0,0,0,0,0,0,0,0
Chief Sustainability Officer,164333,"CSOs tour facilities, evaluate compliance, and report findings. Gestures could allow them to take notes, trigger camera functions, or log issues while gloved or moving — enhancing environmental audits without added devices.","['High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,164333,0,164333,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,0
Commissioner of Internal Revenue,164333,"In high-security, policy-heavy environments, gesture controls could allow discreet command of presentation materials, alerts, or internal communications while maintaining focus during sensitive meetings or briefings.","['Performance Contexts', 'Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",164333,164333,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COO,164333,Duplicate of Chief Operating Officer — see above.,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
County Commissioner,164333,"Commissioners work across community meetings, site visits, and public speaking. Gesture-based input would enable them to manage documents or presentations hands-free, maintaining eye contact and connection with constituents.","['Performance Contexts', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department Store General Manager,164333,"These managers move between departments, solve issues on the fly, and support teams. Gesture input lets them log incidents, check stock, or coordinate shifts while walking the floor — without needing to return to a terminal.","['High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,0,0,0,0,0,0,164333,0,164333,0,0,0,0,0,0,0,0
Department Store Manager,164333,"Similar to the above, this role benefits from hands-free access to schedules, inventory, or alerts — improving responsiveness in high-traffic retail spaces.",['Touch-Free Requirement'],0,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Manager,164333,"GMs in restaurants, retail, or hotels need constant awareness and flexibility. Gesture input could support team coordination, shift updates, or real-time issue tracking while they stay mobile and present.","['Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0
General Superintendent,164333,"Superintendents in construction or operations work outdoors and wear PPE. Screens can be hard to access. Gesture input allows touchless access to plans, issue logs, or team signals — perfect for field leadership.","['Touch-Free Requirement', 'Field Work with Limited Tech Access', 'High-Volume Repetitive Logging', 'Gestural Cueing for Alerts or Transitions']",164333,0,0,0,0,164333,0,0,0,0,0,164333,0,164333,0,0,0,0,0,0,0,0,0,0
Government Service Executive,164333,"These roles require mobility, discretion, and access to sensitive data. Gesture input could allow silent toggling of documents, alerts, or real-time updates while maintaining focus in formal or high-security environments.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",164333,164333,0,0,0,164333,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,0
Governor,164333,"A governor navigates public events, security, and complex meetings. Gesture input supports subtle interaction with aides, control of presentation tools, or message cueing — enabling smooth leadership presence without visible tech dependence.","['Performance Contexts', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",164333,0,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manufacturing Operations Manager,164333,"Operations managers walk factory floors, check processes, and troubleshoot issues. With noise, gloves, and constant movement, gesture input offers hands-free access to dashboards, status updates, or communications with minimal disruption.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,164333,0,164333,0,0,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0
Mayor,164333,"Mayors operate in community-facing, high-visibility roles. Gesture input allows subtle coordination during speeches, silent alerts during events, or real-time updates during walk-throughs — preserving presence and polish.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",164333,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,164333,0,0,0,0,0,0,0,0
Operational Risk Manager,164333,"Risk managers need real-time monitoring across systems, sometimes in hazardous or sensitive locations. Gesture input provides an interface for silent, fast system navigation or alert control — keeping safety and awareness high.","['Need for Discreet or Silent Communication', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Data/Interface Control While Focused Elsewhere']",164333,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164333
Operations Manager,164333,"Similar to above: in warehouses, offices, or retail, gesture control enables shift coordination, system checks, or urgent messaging without returning to a desk — supporting fast decision-making on the move.","['Time-Sensitive or High-Paced Environments', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,164333,0,164333,0,0,0,0,0,0
Radio Station Manager,164333,"In a studio, screens and keyboards can be disruptive or out of reach. Gesture input allows subtle control of audio feeds, scheduling tools, or alert systems — maintaining focus on broadcasts and minimizing interruption.","['Gestural Cueing for Alerts or Transitions', 'Objects or Screens are Out of Reach', 'Touch-Free Requirement']",164333,0,0,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164333,0
School Superintendent,164333,"Superintendents visit schools, meet with teachers, and attend community events. Gesture input enables discreet note-taking, calendar access, or message control while staying present in educational spaces.","['Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Television Store Manager,164333,"Managing a showroom full of displays, customers, and tech systems, these managers benefit from gesture-based input to switch screens, control demos, or queue product content without holding remotes or devices.","['Field Work with Limited Tech Access', 'Public-Facing with Frequent Interruptions', 'Hands Frequently Full', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,164333,0,0,0,164333,0,0,0,0,0,0,0,0,0,164333,0,0
University President,164333,"University presidents juggle ceremonies, meetings, and high-level strategy. Gesture input could enable real-time updates, presentation control, or message triage — supporting their role as both scholar and executive without breaking flow.","['Performance Contexts', 'Touch-Free Requirement']",0,0,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Executives,164333,"A catch-all category — top executives benefit from gesture input for silent, hands-free control of presentations, team alerts, or dashboards in settings where screens would be disruptive or impractical.","['Performance Contexts', 'Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",164333,164333,0,0,0,164333,0,0,164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accredited Legal Secretary,263185,"Legal secretaries handle confidential documents and multi-task with phones, files, and court schedules. Gesture input allows control of dictation tools, alert systems, or file navigation without touching devices during sensitive proceedings.","['Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",263185,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alumni Secretary,263185,"Often working events or meetings, alumni secretaries benefit from gesture-based control of attendee lists, music, or slideshow tools — freeing their hands for hospitality tasks while maintaining polish.",['Touch-Free Requirement'],0,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Certified Legal Secretary Specialist,263185,"Specialists manage complex filings and communications. Gesture input allows silent control over document formatting tools, alerts, or timers during legal proceedings or filings — enhancing efficiency.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",263185,263185,0,0,0,263185,0,0,0,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0
Dental Secretary,263185,"Often stationed near treatment areas, dental secretaries juggle check-ins, schedules, and hygiene standards. Gesture input helps manage alerts, call up records, or page staff without touching devices — supporting sterile workflows.","['Sterile or Hygiene-Sensitive Settings', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",263185,0,0,0,0,263185,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Executive Assistant,263185,"EAs handle scheduling, live meeting support, and discreet communication. Gesture input allows subtle control of screens, timers, or messages while keeping their executive in flow.","['Performance Contexts', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,263185,0,0,0,263185,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Secretary,263185,"In high-pressure hospital settings, secretaries handle phones, patient charts, and sensitive communications. Gesture input supports touch-free chart access, paging, or note-taking while preserving hygiene and responsiveness.","['Sterile or Hygiene-Sensitive Settings', 'Touch-Free Requirement']",0,0,0,0,0,263185,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Law Secretary,263185,"Law secretaries prepare filings, manage records, and support attorneys in sensitive environments. Gesture input enables hands-free document navigation, alerts, or transcription tools, especially useful during trial prep or filing deadlines.","['Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",263185,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Administrative Assistant,263185,"These assistants juggle phones, filings, and team support under pressure. Gesture input allows for silent alert handling, timer control, or quick lookup — keeping workflow efficient without device juggling.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",263185,263185,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,263185,0,0,0,0,0,0
Office Secretary,263185,"Across industries, office secretaries balance phones, walk-ins, and digital systems. Gesture control allows them to log calls, manage messages, or pull up files while keeping hands available for front-desk tasks.","['High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,263185,0,0,0,0,0,0,0,263185,0,263185,0,0,0,0,0,0,0,0
Personal Secretary,263185,"Supporting executives or private individuals, personal secretaries benefit from gesture input for subtle reminders, calendar shifts, or silent messages — enabling polished, high-efficiency support.","['Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,263185,0,0,0,263185,0,0,0,0,0,0,0,0,0,263185,0,0,0,0,0,0,0,0
Psychiatric Secretary,263185,"In mental health settings, discretion and calm are key. Gesture input allows quiet access to patient logs, alerts, or schedule updates — maintaining professional presence while respecting sensitive environments.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",263185,0,0,0,0,263185,0,0,0,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0
Real Estate Administrative Assistant,263185,"Real estate assistants manage documents, listings, and client appointments. Gesture input allows hands-free control of map tools, appointment queues, or document previews — perfect when switching between field and office tasks.","['Field Work with Limited Tech Access', 'Touch-Free Requirement']",0,0,0,0,0,263185,0,0,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0
Secretaries and Administrative Assistants,263185,"A broad group who manage schedules, records, and high-volume comms. Gesture input supports faster document control, silent alerts, and seamless multitasking — improving day-to-day efficiency.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",263185,263185,0,0,0,263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Register Operator,370978,"Register operators have full hands, limited space, and hygiene considerations. Gesture input could allow quick alerts, customer signals, or shift changes without touching shared buttons or calling over a manager.","['Sterile or Hygiene-Sensitive Settings', 'Public-Facing with Frequent Interruptions', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,370978,0,0,0,370978,0,0,0,0,0,370978,0,0,0,0,0,370978,0,0
Check Out Cashier,370978,"Cashiers must stay focused on the transaction and customer. Gesture input could help flag help requests, confirm price checks, or toggle POS settings without stepping away or slowing down.","['Data/Interface Control While Focused Elsewhere', 'Public-Facing with Frequent Interruptions', 'Touch-Free Requirement']",0,0,0,0,0,370978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370978,0,370978
Fare Collector,370978,"Working in cramped booths or on moving vehicles, fare collectors benefit from gesture input for ticket verification, alerts, or signal management without letting go of safety handles or tools.","['Safety-Critical Tasks', 'High-Volume Repetitive Logging', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",370978,0,0,0,370978,370978,0,0,0,0,0,0,0,370978,0,0,0,0,0,0,0,0,0,0
Grocery Checker,370978,"Grocery checkers operate in fast-paced, repetitive roles with little downtime. Gesture-based controls enable quick manager alerts, item lookups, or music adjustments without disrupting checkout rhythm.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",370978,0,0,0,0,370978,0,0,0,0,0,0,0,370978,0,0,0,370978,0,0,0,0,0,0
Hotel Dining Room Cashier,370978,"These workers juggle billing, customer service, and coordination with servers — often under time pressure. Gesture input offers discreet POS management, guest lookup, or team alerts without stepping away from the register.","['Gestural Cueing for Alerts or Transitions', 'Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",370978,370978,0,0,0,370978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370978,0,0
Snack Bar Cashier,370978,"Snack bar cashiers work in high-traffic, high-speed environments, often balancing food handling with customer service. With sticky hands or small counters, gesture input enables them to flag help, toggle order screens, or queue alerts without breaking food safety or pausing service.","['Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",370978,0,0,370978,0,370978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370978,0,0
Toll Booth Operator,370978,"Toll booth operators work in tight, repetitive settings with limited space and constant vehicle flow. Gloves and glass barriers make touchscreens or voice commands difficult. Gesture controls allow safe, silent interaction with alerts, vehicle logs, or barrier gates — streamlining operations without distraction.","['Need for Discreet or Silent Communication', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,370978,0,370978,0,370978,0,0,0,0,0,0,0,370978,0,0,0,0,0,0,0,0,0,0
Toll Collector,370978,"Similar to toll booth operators, toll collectors work in constrained, often outdoor spaces. Gesture input offers quick, clean access to signal issues, log cash shortages, or switch shift modes without removing gloves or using hard-to-reach controls.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,370978,0,370978,0,0,0,0,0,0,0,0,0,370978,0,370978,0,0,0,0,0,0
Cashiers,370978,"Cashiers handle high volumes of customers with full hands, limited time, and hygiene concerns. Gesture controls could allow them to silently call for supervisor support, suspend transactions, or toggle register functions — maintaining flow without disrupting service.","['Sterile or Hygiene-Sensitive Settings', 'Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,370978,0,0,0,370978,0,0,0,370978,0,0,0,0,0,0,0,0,0,0,0,370978,0,0
CCU Nurse,194124,"In cardiac care units, nurses monitor critical patients and operate sensitive equipment. Gesture input could allow sterile, hands-free chart access, medication checks, or alert acknowledgment without touching screens — supporting speed and hygiene in high-stakes environments.","['Sterile or Hygiene-Sensitive Settings', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",194124,0,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Nurse Specialist,194124,"These advanced nurses move between patient care, documentation, and mentoring. Often gloved and moving, gesture input helps them flag records, mark medication events, or queue notes while staying mobile and focused.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,194124,0,194124,0,0,0,0,0,0,0,0,0,194124,0,0,0,0,0,0,0,0
CNS,194124,"Same as Clinical Nurse Specialist — gesture input supports multitasking, real-time note control, and alert navigation during hands-on care or rounds.","['Sterile or Hygiene-Sensitive Settings', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",194124,0,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Health Nurse,194124,"In home or community settings, these nurses balance hands-on care with digital logging. Gesture input allows touch-free updates to care plans or medication reminders — critical when laptops or phones aren’t accessible mid-care.","['High-Volume Repetitive Logging', 'Touch-Free Requirement']",0,0,0,0,0,194124,0,0,0,0,0,0,0,194124,0,0,0,0,0,0,0,0,0,0
Coronary Care Unit Nurse,194124,"CCU nurses operate in high-intensity environments with strict protocols. With gloved hands and limited time, gesture input could streamline bedside charting, vital monitoring toggles, or equipment adjustments — keeping pace without risking hygiene.","['Sterile or Hygiene-Sensitive Settings', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,194124,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emergency Room RN,194124,"ER nurses move constantly between trauma bays, patients, and alerts. Touchscreens are risky, and voice isn’t always viable in chaos. Gesture input allows hands-free triage logging, silent coordination, or alert dismissal — supporting care in unpredictable moments.","['Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'High-Volume Repetitive Logging']",0,194124,0,0,0,194124,0,0,0,0,0,0,0,194124,0,194124,0,0,0,0,0,0,0,0
Endoscopy Registered Nurse,194124,"These nurses assist with scoped procedures in dark, sterile rooms where hands are gloved and tools are delicate. Gesture input enables touch-free access to patient data, scope settings, or photo capture — preserving sterility while enhancing documentation.","['Sterile or Hygiene-Sensitive Settings', 'Dim or Low-Light Workspaces', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,194124,0,194124,0,0,0,194124,0,0,0,0,194124,0,0,0,0,0,0,0,0,0
Hospice Registered Nurse,194124,"Hospice nurses provide compassionate care in emotionally sensitive, hygiene-aware settings. Gesture input allows for subtle record updates, supply alerts, or coordination without pulling focus from the patient or touching tech.","['Sterile or Hygiene-Sensitive Settings', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",194124,0,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstetrical Nurse,194124,"In labor and delivery, nurses need fast access to charts, fetal monitors, and emergency protocols — all while maintaining a sterile field. Gesture input supports bedside data control and rapid updates during critical, hands-busy care.","['Sterile or Hygiene-Sensitive Settings', 'Performance Contexts', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,194124,0,0,194124,194124,0,0,0,0,0,194124,0,0,0,0,0,0,0,0
Oncology Registered Nurse,194124,"Oncology nurses manage sensitive patient care, IV treatments, and precise medication delivery. With gloves on and emotion in the room, gesture input offers a clean way to confirm doses, log care steps, or signal help quietly and efficiently.","['Performance Contexts', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,194124,0,194124,0,0,194124,0,0,0,0,0,0,194124,0,0,0,0,0,0,0,0
PACU Nurse,194124,"Post-anesthesia nurses monitor unstable patients in recovery. Gloves, monitors, and fast response times limit traditional input. Gesture control offers touchless access to vitals, medication records, or alerts — helping nurses stay reactive and hands-on.","['Gestural Cueing for Alerts or Transitions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",194124,0,0,194124,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediatric Registered Nurse,194124,"Pediatric nurses balance medical tasks with emotional engagement. Gesture input supports hands-free logging, distraction-free music control, or alert triage while staying physically and emotionally available to young patients.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",194124,0,0,0,0,194124,0,0,0,0,0,0,0,194124,0,0,0,0,0,0,0,0,0,0
Post-Anesthesia Care Unit Nurse,194124,"PACU nurses need quick, sterile interaction with equipment and records. Gesture input allows them to silence alarms, pull up recovery timelines, or contact anesthesiologists without leaving the bedside or using contaminated devices.","['Sterile or Hygiene-Sensitive Settings', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",0,0,0,0,0,194124,0,0,0,194124,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0
